comment_id,video_id,comment_text,entity,entity_type,sentiment_label,issue_category,topic_name
Ugx4N_SJN21MGHZiqaR4AaABAg,3i1OB6wKYms,"dear samsung, for the upcoming z fold 8, we don't care about galaxy ai, thin body, or the crease, what we want is s pen support, larger battery, more durable inside screen, and a ip68 rating, and it will be the most perfect phone we've seen in years.",samsung,CUSTOM_PRODUCT_OR_BRAND,positive,Battery / Charging,Buying Decision / Value Discussion
Ugx4N_SJN21MGHZiqaR4AaABAg,3i1OB6wKYms,"dear samsung, for the upcoming z fold 8, we don't care about galaxy ai, thin body, or the crease, what we want is s pen support, larger battery, more durable inside screen, and a ip68 rating, and it will be the most perfect phone we've seen in years.",galaxy,CUSTOM_PRODUCT_OR_BRAND,positive,Battery / Charging,Buying Decision / Value Discussion
Ugx4N_SJN21MGHZiqaR4AaABAg,3i1OB6wKYms,"dear samsung, for the upcoming z fold 8, we don't care about galaxy ai, thin body, or the crease, what we want is s pen support, larger battery, more durable inside screen, and a ip68 rating, and it will be the most perfect phone we've seen in years.",s pen,CUSTOM_PRODUCT_OR_BRAND,positive,Battery / Charging,Buying Decision / Value Discussion
Ugzsudlgc_zuZtzRQl54AaABAg,3i1OB6wKYms,yeah idk why they removed bluetooth spen in the s25 ultra,s25 ultra,CUSTOM_PRODUCT_OR_BRAND,positive,S-Pen / Features,Buying Decision / Value Discussion
Ugzsudlgc_zuZtzRQl54AaABAg,3i1OB6wKYms,yeah idk why they removed bluetooth spen in the s25 ultra,spen,CUSTOM_PRODUCT_OR_BRAND,positive,S-Pen / Features,Buying Decision / Value Discussion
Ugzvz709Vzfhhko4r6d4AaABAg,3i1OB6wKYms,you do not have to press the button secondly you just talk like you know you say hey and then g o o g e l you know simple no need pressing but then you just set it up at your settings simple,g o o g e l,ORG,positive,Other,General Samsung / Apple Discussion
Ugw3D88UBQWdlHga2dh4AaABAg,3i1OB6wKYms,last titanium s25 ultra is toughest than s26 ultra,s25 ultra,CUSTOM_PRODUCT_OR_BRAND,negative,Other,"AI, Battery, Camera and Feature Discussion"
Ugw_MSUZgYdoVCPOmgF4AaABAg,3i1OB6wKYms,this is better than iphone !!,iphone,CUSTOM_PRODUCT_OR_BRAND,positive,Design / Build,S-Pen / Bluetooth Removal
UgynQTsHLMC39SVdHJd4AaABAg,3i1OB6wKYms,"thank you, samsung galaxy s25 ultra! my first ever 256gb premium smartphone. edit ai phone",samsung,CUSTOM_PRODUCT_OR_BRAND,positive,AI / Gemini,Galaxy Models / S23-S24-S25 Series
UgynQTsHLMC39SVdHJd4AaABAg,3i1OB6wKYms,"thank you, samsung galaxy s25 ultra! my first ever 256gb premium smartphone. edit ai phone",galaxy,CUSTOM_PRODUCT_OR_BRAND,positive,AI / Gemini,Galaxy Models / S23-S24-S25 Series
UgynQTsHLMC39SVdHJd4AaABAg,3i1OB6wKYms,"thank you, samsung galaxy s25 ultra! my first ever 256gb premium smartphone. edit ai phone",galaxy s25,CUSTOM_PRODUCT_OR_BRAND,positive,AI / Gemini,Galaxy Models / S23-S24-S25 Series
UgynQTsHLMC39SVdHJd4AaABAg,3i1OB6wKYms,"thank you, samsung galaxy s25 ultra! my first ever 256gb premium smartphone. edit ai phone",galaxy s25 ultra,CUSTOM_PRODUCT_OR_BRAND,positive,AI / Gemini,Galaxy Models / S23-S24-S25 Series
UgynQTsHLMC39SVdHJd4AaABAg,3i1OB6wKYms,"thank you, samsung galaxy s25 ultra! my first ever 256gb premium smartphone. edit ai phone",s25 ultra,CUSTOM_PRODUCT_OR_BRAND,positive,AI / Gemini,Galaxy Models / S23-S24-S25 Series
UgwEnAnAcF3LFilOJ714AaABAg,3i1OB6wKYms,and i'm watching this on the s25 ultra right now,s25 ultra,CUSTOM_PRODUCT_OR_BRAND,neutral,Other,"AI, Battery, Camera and Feature Discussion"
