rag_system,configuration,query,candidate_pool_size,relevant_candidates,precision_at_5,candidate_recall_at_5,mrr_at_5,ndcg_at_5,latency_ms,avg_top_5_score
feedback_rag,semantic_only,What are users saying about Samsung battery life?,200,175,0.8,0.0229,1.0,0.8304,48.74,0.6799
feedback_rag,hybrid_full,What are users saying about Samsung battery life?,200,175,1.0,0.0286,1.0,1.0,49.07,0.6647
feedback_rag,hybrid_without_category,What are users saying about Samsung battery life?,200,175,1.0,0.0286,1.0,1.0,48.85,0.6688
feedback_rag,hybrid_without_lexical,What are users saying about Samsung battery life?,200,175,1.0,0.0286,1.0,1.0,48.81,0.6431
feedback_rag,hybrid_without_sentiment,What are users saying about Samsung battery life?,200,175,1.0,0.0286,1.0,1.0,48.82,0.6734
feedback_rag,hybrid_without_engagement,What are users saying about Samsung battery life?,200,175,1.0,0.0286,1.0,1.0,48.89,0.6803
feedback_rag,hybrid_plus_bge_reranker,What are users saying about Samsung battery life?,200,175,1.0,0.0286,1.0,1.0,6138.99,0.0246
feedback_rag,semantic_only,Why are users unhappy about the S-Pen?,200,66,0.4,0.0303,0.5,0.3452,49.64,0.7527
feedback_rag,hybrid_full,Why are users unhappy about the S-Pen?,200,66,1.0,0.0758,1.0,1.0,49.94,0.7057
feedback_rag,hybrid_without_category,Why are users unhappy about the S-Pen?,200,66,1.0,0.0758,1.0,1.0,49.89,0.733
feedback_rag,hybrid_without_lexical,Why are users unhappy about the S-Pen?,200,66,0.6,0.0455,1.0,0.6164,49.85,0.7044
feedback_rag,hybrid_without_sentiment,Why are users unhappy about the S-Pen?,200,66,1.0,0.0758,1.0,1.0,49.97,0.6948
feedback_rag,hybrid_without_engagement,Why are users unhappy about the S-Pen?,200,66,1.0,0.0758,1.0,1.0,50.06,0.7262
feedback_rag,hybrid_plus_bge_reranker,Why are users unhappy about the S-Pen?,200,66,0.8,0.0606,1.0,0.786,4559.74,0.3912
feedback_rag,semantic_only,What do users think about Galaxy AI and Gemini?,200,200,1.0,0.025,1.0,1.0,61.28,0.6967
feedback_rag,hybrid_full,What do users think about Galaxy AI and Gemini?,200,200,1.0,0.025,1.0,1.0,60.54,0.6725
feedback_rag,hybrid_without_category,What do users think about Galaxy AI and Gemini?,200,200,1.0,0.025,1.0,1.0,60.27,0.6788
feedback_rag,hybrid_without_lexical,What do users think about Galaxy AI and Gemini?,200,200,1.0,0.025,1.0,1.0,60.81,0.6515
feedback_rag,hybrid_without_sentiment,What do users think about Galaxy AI and Gemini?,200,200,1.0,0.025,1.0,1.0,60.32,0.6816
feedback_rag,hybrid_without_engagement,What do users think about Galaxy AI and Gemini?,200,200,1.0,0.025,1.0,1.0,60.28,0.6907
feedback_rag,hybrid_plus_bge_reranker,What do users think about Galaxy AI and Gemini?,200,200,1.0,0.025,1.0,1.0,2204.9,0.5062
feedback_rag,semantic_only,Are users comparing Samsung with Apple?,200,199,1.0,0.0251,1.0,1.0,47.43,0.6972
feedback_rag,hybrid_full,Are users comparing Samsung with Apple?,200,199,1.0,0.0251,1.0,1.0,47.71,0.7122
feedback_rag,hybrid_without_category,Are users comparing Samsung with Apple?,200,199,1.0,0.0251,1.0,1.0,47.52,0.6638
feedback_rag,hybrid_without_lexical,Are users comparing Samsung with Apple?,200,199,1.0,0.0251,1.0,1.0,47.53,0.7181
feedback_rag,hybrid_without_sentiment,Are users comparing Samsung with Apple?,200,199,1.0,0.0251,1.0,1.0,47.93,0.7234
feedback_rag,hybrid_without_engagement,Are users comparing Samsung with Apple?,200,199,1.0,0.0251,1.0,1.0,47.95,0.7304
feedback_rag,hybrid_plus_bge_reranker,Are users comparing Samsung with Apple?,200,199,1.0,0.0251,1.0,1.0,12070.25,0.9125
feedback_rag,semantic_only,What are users saying about Samsung camera quality?,200,124,0.8,0.0323,1.0,0.8688,39.7,0.7413
feedback_rag,hybrid_full,What are users saying about Samsung camera quality?,200,124,1.0,0.0403,1.0,1.0,40.63,0.6782
feedback_rag,hybrid_without_category,What are users saying about Samsung camera quality?,200,124,1.0,0.0403,1.0,1.0,39.92,0.6861
feedback_rag,hybrid_without_lexical,What are users saying about Samsung camera quality?,200,124,1.0,0.0403,1.0,1.0,39.89,0.6815
feedback_rag,hybrid_without_sentiment,What are users saying about Samsung camera quality?,200,124,1.0,0.0403,1.0,1.0,39.9,0.6875
feedback_rag,hybrid_without_engagement,What are users saying about Samsung camera quality?,200,124,1.0,0.0403,1.0,1.0,39.81,0.6979
feedback_rag,hybrid_plus_bge_reranker,What are users saying about Samsung camera quality?,200,124,1.0,0.0403,1.0,1.0,5887.07,0.2703
feedback_rag,semantic_only,What are users saying about Samsung screen or display issues?,200,105,0.6,0.0286,1.0,0.6399,49.45,0.6857
feedback_rag,hybrid_full,What are users saying about Samsung screen or display issues?,200,105,1.0,0.0476,1.0,1.0,49.84,0.6421
feedback_rag,hybrid_without_category,What are users saying about Samsung screen or display issues?,200,105,1.0,0.0476,1.0,1.0,49.66,0.6399
feedback_rag,hybrid_without_lexical,What are users saying about Samsung screen or display issues?,200,105,0.8,0.0381,1.0,0.8688,49.62,0.645
feedback_rag,hybrid_without_sentiment,What are users saying about Samsung screen or display issues?,200,105,1.0,0.0476,1.0,1.0,50.77,0.6254
feedback_rag,hybrid_without_engagement,What are users saying about Samsung screen or display issues?,200,105,1.0,0.0476,1.0,1.0,50.76,0.662
feedback_rag,hybrid_plus_bge_reranker,What are users saying about Samsung screen or display issues?,200,105,1.0,0.0476,1.0,1.0,4065.63,0.1818
