sentiment_label,sentiment_topic_id,top_words,sentiment_topic_name
positive,0,"ultra, s25, s24, s25 ultra, pen, s24 ultra, upgrade, s23, samsung, phone, like, note",Positive Brand / Product Praise
positive,1,"phone, like, samsung, better, good, apple, just, great, buy, phones, 70, lol",Positive Camera and Design Feedback
positive,2,"samsung, ai, just, like, features, phones, apple, don, new, use, years, people",Positive AI / Feature Appreciation
positive,3,"iphone, best, samsung, phone, love, pro, video, better, wow, year, max, amazing",Positive Upgrade or Buying Interest
negative,0,"ultra, pen, s25, s24, bluetooth, s25 ultra, upgrade, s24 ultra, s23, design, samsung, s22",Negative Feature Removal Concerns
negative,1,"samsung, phone, iphone, fake, buy, just, screen, phones, apple, people, got, fake samsung",Negative Battery / Charging Issues
negative,2,"samsung, just, apple, don, phone, use, phones, time, year, years, like, people",Negative Price / Value Concerns
negative,3,"phone, fake, ai, like, real, video, bad, camera, looks, features, bro, samsung",Negative Camera / Display Complaints
neutral,0,"ultra, s24, pen, buy, s24 ultra, s25, bluetooth, phone, s23, samsung, upgrade, s25 ultra",Neutral Product Discussion
neutral,1,"apple, samsung, just, bro, phone, 70, video, did, s26, time, series, know",Neutral Samsung vs Apple Comparison
neutral,2,"iphone, samsung, use, just, phones, phone, new, need, don, ai, years, camera",Neutral Model / Upgrade Discussion
neutral,3,"samsung, phone, ai, ultra, s25, watching, galaxy, google, s25 ultra, note, screen, new",Neutral AI / Feature Discussion
