retrieval_rank,video_id,video_title,channel_title,video_published_at,video_view_count,video_like_count,video_comment_count,video_description,video_tags,comment_id,parent_comment_id,comment_type,author,comment_text,like_count,reply_count,comment_published_at,comment_updated_at,is_public,original_comment,clean_comment,emoji_count,emoji_sentiment_score,comment_length,word_count,text_negative,text_neutral,text_positive,text_sentiment_score,final_sentiment_score,sentiment_label,language,issue_category,classification_method,category_confidence,topic_id,topic_confidence,topic_name,rag_text,similarity_score,engagement_score,category_relevance_score,lexical_relevance_score,sentiment_relevance_score,intent_penalty_score,weighted_retrieval_score,query,bge_reranker_raw_score,bge_reranker_score,bge_reranker_relevance_label
1,a4NJNdHqs_I,Samsung Galaxy S25 Ultra Review: The Tables Have Turned!,Marques Brownlee,2025-02-05T22:18:18Z,5877632,158154,12519,"Part review part rant. It's still a good phone though.

Get the Samsung Galaxy S25 Ultra at BestBuy in-store or online at https://bit.ly/4h8mjiy

MKBHD Merch: http://shop.MKBHD.com

The Ridge x MKBHD Knife: https://geni.us/YP4ED

Playlist of MKBHD Intro music: https://goo.gl/B3AWV5

Phone provided by Samsung for review.

~
http://twitter.com/MKBHD
http://instagram.com/MKBHD
http://facebook.com/MKBHD","S25 Ultra, Galaxy S25, Galaxy S25 Ultra, S25 Ultra vs, MKBHD, S25 Ultra Review",UgwxdZovKmTCzGmmtCR4AaABAg,,top_level,@covre4420,Samsung's battery life is abysmal. They need to quickly introduce silicon-carbon batteries and increase capacity.,1,0,2025-11-13 16:44:12+00:00,2025-11-13T16:44:12Z,True,Samsung's battery life is abysmal. They need to quickly introduce silicon-carbon batteries and increase capacity.,samsung's battery life is abysmal. they need to quickly introduce silicon carbon batteries and increase capacity.,0,0.0,113,16,0.0,0.867,0.133,0.318,0.255,positive,en,Battery / Charging,keyword,1.0,1,0.903,"AI, Battery, Camera and Feature Discussion","Comment: samsung's battery life is abysmal. they need to quickly introduce silicon carbon batteries and increase capacity. Issue Category: Battery / Charging Sentiment: positive Topic: AI, Battery, Camera and Feature Discussion Video: Samsung Galaxy S25 Ultra Review: The Tables Have Turned!",0.718,0.061,0.65,1.0,0.5,0.0,0.706,What are users saying about Samsung battery life?,0.019444402,0.019444402307271957,1
2,a4NJNdHqs_I,Samsung Galaxy S25 Ultra Review: The Tables Have Turned!,Marques Brownlee,2025-02-05T22:18:18Z,5877632,158154,12519,"Part review part rant. It's still a good phone though.

Get the Samsung Galaxy S25 Ultra at BestBuy in-store or online at https://bit.ly/4h8mjiy

MKBHD Merch: http://shop.MKBHD.com

The Ridge x MKBHD Knife: https://geni.us/YP4ED

Playlist of MKBHD Intro music: https://goo.gl/B3AWV5

Phone provided by Samsung for review.

~
http://twitter.com/MKBHD
http://instagram.com/MKBHD
http://facebook.com/MKBHD","S25 Ultra, Galaxy S25, Galaxy S25 Ultra, S25 Ultra vs, MKBHD, S25 Ultra Review",UgzON8Ux_i9KlR2_VKl4AaABAg,,top_level,@pritishpatil7659,"Aiming for 1 day battery life since 10 years, is pathetic.

My watch, trimmer, toothbrush etc all last for multiple days to weeks.

Is 2 day battery life in a phone too much to ask for? And yeah a charger in the box! Which is fast. Selling charger seperately for a 1300$ phone is disgusting.",0,0,2025-02-06 07:53:04+00:00,2025-02-06T07:53:04Z,True,"Aiming for 1 day battery life since 10 years, is pathetic.

My watch, trimmer, toothbrush etc all last for multiple days to weeks.

Is 2 day battery life in a phone too much to ask for? And yeah a charger in the box! Which is fast. Selling charger seperately for a 1300$ phone is disgusting.","aiming for 1 day battery life since 10 years, is pathetic. my watch, trimmer, toothbrush etc all last for multiple days to weeks. is 2 day battery life in a phone too much to ask for? and yeah a charger in the box! which is fast. selling charger seperately for a 1300 phone is disgusting.",0,0.0,288,55,0.12,0.844,0.036,-0.734,-0.588,negative,en,Battery / Charging,keyword,1.0,1,0.528,"AI, Battery, Camera and Feature Discussion","Comment: aiming for 1 day battery life since 10 years, is pathetic. my watch, trimmer, toothbrush etc all last for multiple days to weeks. is 2 day battery life in a phone too much to ask for? and yeah a charger in the box! which is fast. selling charger seperately for a 1300 phone is disgusting. Issue Category: Battery / Charging Sentiment: negative Topic: AI, Battery, Camera and Feature Discussion Video: Samsung Galaxy S25 Ultra Review: The Tables Have Turned!",0.662,0.0,0.65,1.0,0.5,0.0,0.672,What are users saying about Samsung battery life?,0.0023842212,0.0023842211812734604,0
3,a4NJNdHqs_I,Samsung Galaxy S25 Ultra Review: The Tables Have Turned!,Marques Brownlee,2025-02-05T22:18:18Z,5877632,158154,12519,"Part review part rant. It's still a good phone though.

Get the Samsung Galaxy S25 Ultra at BestBuy in-store or online at https://bit.ly/4h8mjiy

MKBHD Merch: http://shop.MKBHD.com

The Ridge x MKBHD Knife: https://geni.us/YP4ED

Playlist of MKBHD Intro music: https://goo.gl/B3AWV5

Phone provided by Samsung for review.

~
http://twitter.com/MKBHD
http://instagram.com/MKBHD
http://facebook.com/MKBHD","S25 Ultra, Galaxy S25, Galaxy S25 Ultra, S25 Ultra vs, MKBHD, S25 Ultra Review",Ugyvgu5hKavhuyq6yHl4AaABAg.AEC23tbhoNRAECDM3B0gvz,Ugyvgu5hKavhuyq6yHl4AaABAg,reply,@doja5321,Typical old phone user with 2 hour battery life bragging their phone is still better. 😂😂😂,85,0,2025-02-06 11:34:12+00:00,2025-02-06T11:34:12Z,True,Typical old phone user with 2 hour battery life bragging their phone is still better. 😂😂😂,typical old phone user with 2 hour battery life bragging their phone is still better.,3,0.3,85,15,0.0,0.828,0.172,0.44,0.412,positive,en,Battery / Charging,keyword,1.0,6,0.367,Upgrade Cycle / Yearly Phone Changes,Comment: typical old phone user with 2 hour battery life bragging their phone is still better. Issue Category: Battery / Charging Sentiment: positive Topic: Upgrade Cycle / Yearly Phone Changes Video: Samsung Galaxy S25 Ultra Review: The Tables Have Turned!,0.69,0.39,0.65,0.75,0.5,0.0,0.67,What are users saying about Samsung battery life?,0.000496798,0.0004967980203218758,0
4,a4NJNdHqs_I,Samsung Galaxy S25 Ultra Review: The Tables Have Turned!,Marques Brownlee,2025-02-05T22:18:18Z,5877632,158154,12519,"Part review part rant. It's still a good phone though.

Get the Samsung Galaxy S25 Ultra at BestBuy in-store or online at https://bit.ly/4h8mjiy

MKBHD Merch: http://shop.MKBHD.com

The Ridge x MKBHD Knife: https://geni.us/YP4ED

Playlist of MKBHD Intro music: https://goo.gl/B3AWV5

Phone provided by Samsung for review.

~
http://twitter.com/MKBHD
http://instagram.com/MKBHD
http://facebook.com/MKBHD","S25 Ultra, Galaxy S25, Galaxy S25 Ultra, S25 Ultra vs, MKBHD, S25 Ultra Review",UgyPVRNv8qUCF8r_Ret4AaABAg,,top_level,@mohamedfayed8013,"we need less is more and quality over quantity to come back .
1 inch sensor instead of 4 zoom cameras no body uses except youtubers .
7000 mAh battery like redmagic 10 .
1080p 120hz 1000 nits efficient oled screen .
fast charger in the box .
256 gb as base model plus sd card slot .
headphone jack .
efficient  SOC not the best .
people are complaining about battery life not zoom cameras .
about storage not s pen .
about headphone jack and dongle life for high end headphone or cheap air line headphones .
companies are trying to make phones for youtubers not everyday people .",0,0,2025-02-06 00:05:19+00:00,2025-02-06T00:05:19Z,True,"we need less is more and quality over quantity to come back .
1 inch sensor instead of 4 zoom cameras no body uses except youtubers .
7000 mAh battery like redmagic 10 .
1080p 120hz 1000 nits efficient oled screen .
fast charger in the box .
256 gb as base model plus sd card slot .
headphone jack .
efficient  SOC not the best .
people are complaining about battery life not zoom cameras .
about storage not s pen .
about headphone jack and dongle life for high end headphone or cheap air line headphones .
companies are trying to make phones for youtubers not everyday people .",we need less is more and quality over quantity to come back . 1 inch sensor instead of 4 zoom cameras no body uses except youtubers . 7000 mah battery like redmagic 10 . 1080p 120hz 1000 nits efficient oled screen . fast charger in the box . 256 gb as base model plus sd card slot . headphone jack . efficient soc not the best . people are complaining about battery life not zoom cameras . about storage not s pen . about headphone jack and dongle life for high end headphone or cheap air line headphones . companies are trying to make phones for youtubers not everyday people .,0,0.0,578,111,0.061,0.872,0.067,0.186,0.149,positive,en,Battery / Charging,keyword,1.0,3,0.425,Buying Decision / Value Discussion,Comment: we need less is more and quality over quantity to come back . 1 inch sensor instead of 4 zoom cameras no body uses except youtubers . 7000 mah battery like redmagic 10 . 1080p 120hz 1000 nits efficient oled screen . fast charger in the box . 256 gb as base model plus sd card slot . headphone jack . efficient soc not the best . people are complaining about battery life not zoom cameras . about storage not s pen . about headphone jack and dongle life for high end headphone or cheap air line headphones . companies are trying to make phones for youtubers not everyday people . Issue Category: Battery / Charging Sentiment: positive Topic: Buying Decision / Value Discussion Video: Samsung Galaxy S25 Ultra Review: The Tables Have Turned!,0.655,0.0,0.65,1.0,0.5,0.0,0.668,What are users saying about Samsung battery life?,0.0004035854,0.0004035854071844369,0
5,vkBQW8NZk9k,"$70 vs $1,200 Samsung!",Mrwhosetheboss,2023-05-14T13:01:39Z,40457597,1964597,5052,"#Samsung #realvsfake #fake #technology #shorts 

I spend a LOT of time trying to make my videos as concise, polished and useful as possible for you - if you would like to support me on that mission then consider subscribing to the channel - you'd make my day 😁

For my tech hot takes: http://twitter.com/Mrwhosetheboss
For my Personal Posts: http://instagram.com/mrwhosetheboss
Does anyone still use this anymore?: https://facebook.com/mrwhosetheboss

Amazon Affiliate links (if you buy anything through these it will support the channel and allow us to buy better gear!):
Amazon US: https://amzn.to/3mFix9d
Amazon UK: https://amzn.to/3GMPPtM

My Filming Gear:
https://bit.ly/35CuxwI

Music is from Epidemic sound:
http://share.epidemicsound.com/pHDFT","samsung, tech, shorts",UgyRXAz5fyJHozlIpsB4AaABAg.9px0L4f6Ak39sDbIddMnU9,UgyRXAz5fyJHozlIpsB4AaABAg,reply,@bencastellucci8823,@baby333 they release updates meant for the newest phones and they can either sacrifice running quality or battery life on the old ones,0,0,2023-07-16 08:29:21+00:00,2024-06-12T21:30:16Z,True,@baby333 they release updates meant for the newest phones and they can either sacrifice running quality or battery life on the old ones,they release updates meant for the newest phones and they can either sacrifice running quality or battery life on the old ones,0,0.0,126,22,0.0,1.0,0.0,0.0,0.0,neutral,en,Battery / Charging,keyword,1.0,1,0.476,"AI, Battery, Camera and Feature Discussion","Comment: they release updates meant for the newest phones and they can either sacrifice running quality or battery life on the old ones Issue Category: Battery / Charging Sentiment: neutral Topic: AI, Battery, Camera and Feature Discussion Video: $70 vs $1,200 Samsung!",0.704,0.0,0.65,0.75,0.5,0.0,0.666,What are users saying about Samsung battery life?,0.0020305736,0.0020305735524743795,0
1,a4NJNdHqs_I,Samsung Galaxy S25 Ultra Review: The Tables Have Turned!,Marques Brownlee,2025-02-05T22:18:18Z,5877632,158154,12519,"Part review part rant. It's still a good phone though.

Get the Samsung Galaxy S25 Ultra at BestBuy in-store or online at https://bit.ly/4h8mjiy

MKBHD Merch: http://shop.MKBHD.com

The Ridge x MKBHD Knife: https://geni.us/YP4ED

Playlist of MKBHD Intro music: https://goo.gl/B3AWV5

Phone provided by Samsung for review.

~
http://twitter.com/MKBHD
http://instagram.com/MKBHD
http://facebook.com/MKBHD","S25 Ultra, Galaxy S25, Galaxy S25 Ultra, S25 Ultra vs, MKBHD, S25 Ultra Review",Ugx5oTn2Z2dEDukFA3d4AaABAg,,top_level,@acewalker,If they are just going to remove the features of the S-Pen while also not inventing nice features or gestures for the S-Pen then they should have stuck to the S20/S21 Ultra design and keep their note line. Why even bring back the S-Pen at all?????????,0,0,2025-02-06 02:27:25+00:00,2025-02-06T02:27:25Z,True,If they are just going to remove the features of the S-Pen while also not inventing nice features or gestures for the S-Pen then they should have stuck to the S20/S21 Ultra design and keep their note line. Why even bring back the S-Pen at all?????????,if they are just going to remove the features of the s pen while also not inventing nice features or gestures for the s pen then they should have stuck to the s20 s21 ultra design and keep their note line. why even bring back the s pen at all?????????,0,0.0,251,50,0.099,0.901,0.0,-0.648,-0.518,negative,en,S-Pen / Features,keyword,1.0,5,0.592,S-Pen / Bluetooth Removal,Comment: if they are just going to remove the features of the s pen while also not inventing nice features or gestures for the s pen then they should have stuck to the s20 s21 ultra design and keep their note line. why even bring back the s pen at all????????? Issue Category: S-Pen / Features Sentiment: negative Topic: S-Pen / Bluetooth Removal Video: Samsung Galaxy S25 Ultra Review: The Tables Have Turned!,0.714,0.0,0.65,1.0,1.0,0.0,0.727,Why are users unhappy about the S-Pen?,0.046505973,0.04650597274303436,1
2,2HhrudHXaDs,Introducing Galaxy Z Fold7 | Galaxy AI | Samsung,Samsung,2025-07-09T15:27:09Z,40946263,5777,773,"Introducing the all-new Galaxy Z Fold7. Ultra sleek and ultra powerful, ready to make your everyday more productive and effortless. Learn more: http://smsng.co/ZFold7_Intro_yt

00:00 Intro
00:36 Design
01:10 Hardware
01:45 Battery
02:11 Now Brief
02:24 Gemini Live
02:58 Camera
03:20 ProVisual Engine
03:41 Audio Eraser
03:48 Photo Assist

Q: What's special about the Galaxy Z Fold7's design?
A: Galaxy Z Fold7 features a sleeker, lighter design—just 4.2 mm when open and 8.9 mm when folded. Weighing 215 g, it's the thinnest Galaxy Z Fold yet.

#GalaxyAI #GalaxyZFold7 #camera #UltraSleek #Samsung","audio eraser, camera, galaxy ai, galaxy unpacked 2025, galaxy z fold design, galaxy z fold7, gemini live samsung, new samsung fold phone, samsung, samsung fold camera, samsung foldable, samsung galaxy, samsung galaxy z fold now bar, samsung galaxy z fold photo assist, samsung galaxy z fold7 gemini live, samsung galaxy z fold7 official video, samsung latest mobile, samsung mobile, samsung z fold7, z fold 7 battery life, z fold 7 features, z fold7 ai, AI Phone",Ugy89xMVC0yrLDtk1Ep4AaABAg,,top_level,@jumbo2254,Still a red flag to me without the S pen.. what is the point having a tablet with no S pen..,2,0,2025-07-10 00:37:22+00:00,2025-07-10T00:37:22Z,True,Still a red flag to me without the S pen.. what is the point having a tablet with no S pen..,still a red flag to me without the s pen.. what is the point having a tablet with no s pen..,0,0.0,92,21,0.099,0.901,0.0,-0.296,-0.237,negative,en,S-Pen / Features,keyword,1.0,5,0.825,S-Pen / Bluetooth Removal,Comment: still a red flag to me without the s pen.. what is the point having a tablet with no s pen.. Issue Category: S-Pen / Features Sentiment: negative Topic: S-Pen / Bluetooth Removal Video: Introducing Galaxy Z Fold7 | Galaxy AI | Samsung,0.743,0.096,0.65,0.75,1.0,0.0,0.717,Why are users unhappy about the S-Pen?,0.0059766234,0.005976623389869928,0
3,2HhrudHXaDs,Introducing Galaxy Z Fold7 | Galaxy AI | Samsung,Samsung,2025-07-09T15:27:09Z,40946263,5777,773,"Introducing the all-new Galaxy Z Fold7. Ultra sleek and ultra powerful, ready to make your everyday more productive and effortless. Learn more: http://smsng.co/ZFold7_Intro_yt

00:00 Intro
00:36 Design
01:10 Hardware
01:45 Battery
02:11 Now Brief
02:24 Gemini Live
02:58 Camera
03:20 ProVisual Engine
03:41 Audio Eraser
03:48 Photo Assist

Q: What's special about the Galaxy Z Fold7's design?
A: Galaxy Z Fold7 features a sleeker, lighter design—just 4.2 mm when open and 8.9 mm when folded. Weighing 215 g, it's the thinnest Galaxy Z Fold yet.

#GalaxyAI #GalaxyZFold7 #camera #UltraSleek #Samsung","audio eraser, camera, galaxy ai, galaxy unpacked 2025, galaxy z fold design, galaxy z fold7, gemini live samsung, new samsung fold phone, samsung, samsung fold camera, samsung foldable, samsung galaxy, samsung galaxy z fold now bar, samsung galaxy z fold photo assist, samsung galaxy z fold7 gemini live, samsung galaxy z fold7 official video, samsung latest mobile, samsung mobile, samsung z fold7, z fold 7 battery life, z fold 7 features, z fold7 ai, AI Phone",UgwgmPp35zxGxmHsPpd4AaABAg,,top_level,@deepakberwal007,"I think due to way too slim fold they removed S pen coz that may gonna make structure weak , So they took durability intothe account rather than giving S pen as additional feature.",0,0,2025-07-10 09:52:34+00:00,2025-07-10T09:52:34Z,True,"I think due to way too slim fold they removed S pen coz that may gonna make structure weak , So they took durability intothe account rather than giving S pen as additional feature.","i think due to way too slim fold they removed s pen coz that may gonna make structure weak , so they took durability intothe account rather than giving s pen as additional feature.",0,0.0,180,34,0.078,0.858,0.064,-0.128,-0.102,negative,en,S-Pen / Features,keyword,1.0,5,0.696,S-Pen / Bluetooth Removal,"Comment: i think due to way too slim fold they removed s pen coz that may gonna make structure weak , so they took durability intothe account rather than giving s pen as additional feature. Issue Category: S-Pen / Features Sentiment: negative Topic: S-Pen / Bluetooth Removal Video: Introducing Galaxy Z Fold7 | Galaxy AI | Samsung",0.693,0.0,0.65,1.0,1.0,0.0,0.715,Why are users unhappy about the S-Pen?,0.02818619,0.028186190873384476,1
4,2HhrudHXaDs,Introducing Galaxy Z Fold7 | Galaxy AI | Samsung,Samsung,2025-07-09T15:27:09Z,40946263,5777,773,"Introducing the all-new Galaxy Z Fold7. Ultra sleek and ultra powerful, ready to make your everyday more productive and effortless. Learn more: http://smsng.co/ZFold7_Intro_yt

00:00 Intro
00:36 Design
01:10 Hardware
01:45 Battery
02:11 Now Brief
02:24 Gemini Live
02:58 Camera
03:20 ProVisual Engine
03:41 Audio Eraser
03:48 Photo Assist

Q: What's special about the Galaxy Z Fold7's design?
A: Galaxy Z Fold7 features a sleeker, lighter design—just 4.2 mm when open and 8.9 mm when folded. Weighing 215 g, it's the thinnest Galaxy Z Fold yet.

#GalaxyAI #GalaxyZFold7 #camera #UltraSleek #Samsung","audio eraser, camera, galaxy ai, galaxy unpacked 2025, galaxy z fold design, galaxy z fold7, gemini live samsung, new samsung fold phone, samsung, samsung fold camera, samsung foldable, samsung galaxy, samsung galaxy z fold now bar, samsung galaxy z fold photo assist, samsung galaxy z fold7 gemini live, samsung galaxy z fold7 official video, samsung latest mobile, samsung mobile, samsung z fold7, z fold 7 battery life, z fold 7 features, z fold7 ai, AI Phone",UgxDUmR4vzCs42fMx9t4AaABAg,,top_level,@HIELALALA,Do you guys even use the S-pen or looking for a reason to hate?,2,1,2025-07-10 00:09:54+00:00,2025-07-10T00:09:54Z,True,Do you guys even use the S-pen or looking for a reason to hate?,do you guys even use the s pen or looking for a reason to hate?,0,0.0,63,15,0.209,0.791,0.0,-0.572,-0.458,negative,en,S-Pen / Features,keyword,1.0,5,0.669,S-Pen / Bluetooth Removal,Comment: do you guys even use the s pen or looking for a reason to hate? Issue Category: S-Pen / Features Sentiment: negative Topic: S-Pen / Bluetooth Removal Video: Introducing Galaxy Z Fold7 | Galaxy AI | Samsung,0.736,0.121,0.65,0.75,1.0,0.0,0.713,Why are users unhappy about the S-Pen?,0.9856512,0.9856511950492859,1
5,a4NJNdHqs_I,Samsung Galaxy S25 Ultra Review: The Tables Have Turned!,Marques Brownlee,2025-02-05T22:18:18Z,5877632,158154,12519,"Part review part rant. It's still a good phone though.

Get the Samsung Galaxy S25 Ultra at BestBuy in-store or online at https://bit.ly/4h8mjiy

MKBHD Merch: http://shop.MKBHD.com

The Ridge x MKBHD Knife: https://geni.us/YP4ED

Playlist of MKBHD Intro music: https://goo.gl/B3AWV5

Phone provided by Samsung for review.

~
http://twitter.com/MKBHD
http://instagram.com/MKBHD
http://facebook.com/MKBHD","S25 Ultra, Galaxy S25, Galaxy S25 Ultra, S25 Ultra vs, MKBHD, S25 Ultra Review",UgxlI9IzttUVaCo3Toh4AaABAg,,top_level,@muhammadsyazwan5580,Is it is a sign that in future Samsung will finally remove s pen because they start remove little by little the feature to cutting cost ?😅,0,0,2025-02-06 09:08:48+00:00,2025-02-06T09:08:48Z,True,Is it is a sign that in future Samsung will finally remove s pen because they start remove little by little the feature to cutting cost ?😅,is it is a sign that in future samsung will finally remove s pen because they start remove little by little the feature to cutting cost ?,1,0.1,137,27,0.055,0.945,0.0,-0.128,-0.082,negative,en,S-Pen / Features,keyword,1.0,5,0.584,S-Pen / Bluetooth Removal,Comment: is it is a sign that in future samsung will finally remove s pen because they start remove little by little the feature to cutting cost ? Issue Category: S-Pen / Features Sentiment: negative Topic: S-Pen / Bluetooth Removal Video: Samsung Galaxy S25 Ultra Review: The Tables Have Turned!,0.686,0.0,0.65,1.0,1.0,0.0,0.711,Why are users unhappy about the S-Pen?,0.32578206,0.32578206062316895,1
