router,query,expected_agent,selected_agent,correct,latency_ms,confidence,routing_method,router_model,normalized_query,reason
rule_based,Give me an overall summary of Samsung feedback.,summarization_agent,summarization_agent,1,0.02,1.0,deterministic_fallback,,Give me an overall summary of Samsung feedback.,Matched a precomputed feedback summary request.
rule_based,Summarize negative feedback.,summarization_agent,summarization_agent,1,0.01,1.0,deterministic_fallback,,Summarize negative feedback.,Matched a precomputed feedback summary request.
rule_based,Give me an overview of camera feedback.,summarization_agent,summarization_agent,1,0.0,1.0,deterministic_fallback,,Give me an overview of camera feedback.,Matched a precomputed feedback summary request.
rule_based,Summarize what users say about battery.,summarization_agent,summarization_agent,1,0.0,1.0,deterministic_fallback,,Summarize what users say about battery.,Matched a precomputed feedback summary request.
rule_based,Provide an overall feedback overview.,summarization_agent,summarization_agent,1,0.0,1.0,deterministic_fallback,,Provide an overall feedback overview.,Matched a precomputed feedback summary request.
rule_based,What is the sentiment distribution?,sentiment_agent,sentiment_agent,1,0.01,1.0,deterministic_fallback,,What is the sentiment distribution?,Matched an aggregate sentiment analysis request.
rule_based,How many negative comments are there?,sentiment_agent,sentiment_agent,1,0.01,1.0,deterministic_fallback,,How many negative comments are there?,Matched an aggregate sentiment analysis request.
rule_based,What percentage of comments are positive?,sentiment_agent,feedback_rag_agent,0,0.01,0.5,deterministic_fallback,,What percentage of comments are positive?,"No aggregate-analysis intent matched, so grounded feedback RAG was selected."
rule_based,"Compare positive, negative, and neutral sentiment.",sentiment_agent,sentiment_agent,1,0.01,1.0,deterministic_fallback,,"Compare positive, negative, and neutral sentiment.",Matched an aggregate sentiment analysis request.
rule_based,Show the emotion distribution.,sentiment_agent,sentiment_agent,1,0.01,1.0,deterministic_fallback,,Show the emotion distribution.,Matched an aggregate sentiment analysis request.
rule_based,What are the main complaint categories?,issue_agent,issue_agent,1,0.01,1.0,deterministic_fallback,,What are the main complaint categories?,Matched an aggregate issue or complaint analysis request.
rule_based,Show the top issues.,issue_agent,issue_agent,1,0.01,1.0,deterministic_fallback,,Show the top issues.,Matched an aggregate issue or complaint analysis request.
rule_based,What are the common problems?,issue_agent,issue_agent,1,0.01,1.0,deterministic_fallback,,What are the common problems?,Matched an aggregate issue or complaint analysis request.
rule_based,Give me the issue category distribution.,issue_agent,issue_agent,1,0.01,1.0,deterministic_fallback,,Give me the issue category distribution.,Matched an aggregate issue or complaint analysis request.
rule_based,What are the most frequent concerns?,issue_agent,feedback_rag_agent,0,0.01,0.5,deterministic_fallback,,What are the most frequent concerns?,"No aggregate-analysis intent matched, so grounded feedback RAG was selected."
