comment_id,clean_comment,sentiment_label,issue_category,topic_name,cluster_id,persona,svd_x,svd_y
Ugx4N_SJN21MGHZiqaR4AaABAg,"dear samsung, for the upcoming z fold 8, we don't care about galaxy ai, thin body, or the crease, what we want is s pen support, larger battery, more durable inside screen, and a ip68 rating, and it will be the most perfect phone we've seen in years.",positive,Battery / Charging,"AI, Battery, Camera and Feature Discussion",4,Galaxy AI Subscription Sceptics,0.4331618610512079,-0.1702722041016202
UgziW8DH7aH7NGasbS94AaABAg,your phone better then i phone,positive,Price / Value,S-Pen / Bluetooth Removal,6,Phone Buying and Value Seekers,0.3026047708181083,-0.2519940206021783
Ugzsudlgc_zuZtzRQl54AaABAg,yeah idk why they removed bluetooth spen in the s25 ultra,positive,S-Pen / Features,Galaxy Models / S23-S24-S25 Series,1,Galaxy Upgrade-Cycle Followers,0.4220713780358305,0.46832480876694427
Ugzvz709Vzfhhko4r6d4AaABAg,you do not have to press the button secondly you just talk like you know you say hey and then g o o g e l you know simple no need pressing but then you just set it up at your settings simple,positive,Other,General Samsung / Apple Discussion,2,General Mobile Discussion Audience,0.2837510346481085,-0.12672937466836764
UgwdT3VOcfvHmFEK39R4AaABAg,is anyone else having problems with the camera? does it shake every time you turn it on? i really regretted changing the s23 to the s25.,negative,Camera,General Samsung / Apple Discussion,2,General Mobile Discussion Audience,0.2773121642906519,0.10790659023344613
Ugx6YYZ9SqIdQ_m1Xll4AaABAg,whos watching after the s26 ultra release?,neutral,Other,Upgrade Cycle / Yearly Phone Changes,1,Galaxy Upgrade-Cycle Followers,0.27179911078519625,0.3339553682925611
Ugw3D88UBQWdlHga2dh4AaABAg,last titanium s25 ultra is toughest than s26 ultra,negative,Other,Fake Products / Screen / Camera Concerns,1,Galaxy Upgrade-Cycle Followers,0.4173372853919851,0.5794961287999507
Ugw_MSUZgYdoVCPOmgF4AaABAg,this is better than iphone !!,positive,Design / Build,S-Pen / Bluetooth Removal,5,iPhone Comparison Shoppers,0.16479589357594754,-0.13783831200143365
UgynQTsHLMC39SVdHJd4AaABAg,"thank you, samsung galaxy s25 ultra! my first ever 256gb premium smartphone. edit ai phone",positive,AI / Gemini,Fake Products / Screen / Camera Concerns,1,Galaxy Upgrade-Cycle Followers,0.47342308202219674,0.19884688525794952
UgyVTklPC3O4CuZRXfp4AaABAg,this phone will die on december 2025 security update then fully loosing it on february 2026,negative,Software / One UI,Upgrade Cycle / Yearly Phone Changes,6,Phone Buying and Value Seekers,0.41932277196739354,-0.2490384611217085
UgwEnAnAcF3LFilOJ714AaABAg,and i'm watching this on the s25 ultra right now,neutral,Other,Fake Products / Screen / Camera Concerns,1,Galaxy Upgrade-Cycle Followers,0.32823667017275976,0.4737058397690219
UgyXALJywDNyWciIzU14AaABAg,190 millón view the galaxy s25 ultra,negative,Camera,Fake Products / Screen / Camera Concerns,1,Galaxy Upgrade-Cycle Followers,0.3426750610112663,0.45294169247191784
UgyNnbO_KoxZGzTj2ZF4AaABAg,add such samsung galaxy ai eyesight technology factory industry to all planet each city village,neutral,AI / Gemini,"AI, Battery, Camera and Feature Discussion",4,Galaxy AI Subscription Sceptics,0.27311931761801367,-0.09132865862632357
UgzE8-h-DYUZWSqwu7J4AaABAg,watching this with a galaxy s25 ultra just a few days before the launch of the s26 series,neutral,Other,Fake Products / Screen / Camera Concerns,1,Galaxy Upgrade-Cycle Followers,0.3974500589089545,0.3895942957405008
UgwqAUsgBjfjbgG9SpR4AaABAg,watching this with my s25u titanium silverblue,neutral,Other,Upgrade Cycle / Yearly Phone Changes,2,General Mobile Discussion Audience,0.10791226618275657,0.08975579961354511
UgxkiBxjliKyrEYv1Zl4AaABAg,i love every galaxy s commercial video. ive watched them all,positive,Camera,Buying Decision / Value Discussion,2,General Mobile Discussion Audience,0.14132490659513897,0.0045868944810441604
UgwzsDb28ADnskoVh454AaABAg,the samsung is better than iphone.,positive,Positive Feedback,S-Pen / Bluetooth Removal,5,iPhone Comparison Shoppers,0.2578941632544785,-0.21461765304243371
UgxZFTocm2ie3xG28Oh4AaABAg,i want the s26 ultra incredible to be immediately introduced,positive,S-Pen / Features,Upgrade Cycle / Yearly Phone Changes,1,Galaxy Upgrade-Cycle Followers,0.2570294928020727,0.25768650747323385
UgxwgnC8Y3bKIHzyI_N4AaABAg,no doubts samsung is the batter than apple.,positive,Other,Buying Decision / Value Discussion,7,Samsung-Apple Brand Debaters - Buying Decision / Value Discussion,0.3277917084971205,-0.34728362545492314
Ugw918rClyAx6pLcwa94AaABAg.ASNHA_FbHntASP13iV2Aep,"yes, it's true, 3 days ago it had 86m views. i commented 1 year old . the reason it accumulated so many millions of views is because people want the trailer for the s26 ultra...",positive,AI / Gemini,Upgrade Cycle / Yearly Phone Changes,1,Galaxy Upgrade-Cycle Followers,0.3582529707145698,0.1287864624604769
Ugw918rClyAx6pLcwa94AaABAg.ASNHA_FbHntASQQBr3Jf1Y,". kabira edit, exactly, it can be that, although you know i thought they could be bots or really the hype of the people is so high",neutral,AI / Gemini,S25 vs S24 / iPhone Pro Max Comparison,2,General Mobile Discussion Audience,0.19462083651613263,-0.10280055551422408
Ugyth1Jwbi1GzpFm0PB4AaABAg,i just buy recently s25 ultra and is the wise choice i ever made i upgrade myself from iphone 13 to s25 ultra,positive,Price / Value,Fake Products / Screen / Camera Concerns,1,Galaxy Upgrade-Cycle Followers,0.4829134881622424,0.4015559537342624
