query,expected_agent,selected_agent,correct,routing_reason,matched_terms,routing_method,routing_confidence,normalized_query
Give me an overall summary of Samsung feedback.,summarization_agent,summarization_agent,1,"The user explicitly requests an overall summary, which matches the summarization agent.",,langchain_llm,0.99,Give me an overall summary of Samsung feedback.
Summarize negative feedback.,summarization_agent,summarization_agent,1,"The user explicitly requests a summary of negative feedback, which matches the summarization agent.",,langchain_llm,0.99,Summarize the negative feedback.
Give me an overview of camera feedback.,summarization_agent,summarization_agent,1,"The user explicitly asks for an overview, which is a summarization task rather than sentiment, issue, or evidence retrieval.",,langchain_llm,0.98,Give me an overview of camera feedback.
Summarize what users say about battery.,summarization_agent,summarization_agent,1,"The user explicitly asks for a summary of user feedback about battery, which matches summarization_agent.",,langchain_llm,0.98,Summarize what users say about battery.
Provide an overall feedback overview.,summarization_agent,summarization_agent,1,"The user is explicitly asking for an overall overview, which is a summarization task.",,langchain_llm,0.98,Provide an overall feedback overview.
What is the sentiment distribution?,sentiment_agent,sentiment_agent,1,"The user is asking for aggregate sentiment proportions/distribution, which is handled by the sentiment specialist.",,langchain_llm,0.99,What is the sentiment distribution?
How many negative comments are there?,sentiment_agent,sentiment_agent,1,"The user is asking for a count of negative comments, which is an aggregate sentiment question.",,langchain_llm,0.99,How many negative comments are there?
What percentage of comments are positive?,sentiment_agent,sentiment_agent,1,"The user is asking for an aggregate sentiment proportion (positive comments percentage), which is handled by the sentiment agent.",,langchain_llm,0.99,What percentage of comments are positive?
"Compare positive, negative, and neutral sentiment.",sentiment_agent,sentiment_agent,1,"The request asks for aggregate sentiment comparison across positive, negative, and neutral categories.",,langchain_llm,0.99,"Compare positive, negative, and neutral sentiment."
Show the emotion distribution.,sentiment_agent,sentiment_agent,1,"The user is asking for a distribution of emotions, which maps to aggregate sentiment analysis rather than evidence, topics, or issues.",,langchain_llm,0.98,Show the emotion distribution.
What are the main complaint categories?,issue_agent,issue_agent,1,"The user is asking for aggregate complaint categories, which is exactly what the issue_agent handles.",,langchain_llm,0.99,What are the main complaint categories?
Show the top issues.,issue_agent,issue_agent,1,"The user is asking for aggregate issue categories / common problems, which is exactly what issue_agent handles.",,langchain_llm,0.98,Show the top issues in the feedback data.
What are the common problems?,issue_agent,issue_agent,1,"The user is asking for aggregate problem categories/common complaints, which is exactly what the issue agent handles.",,langchain_llm,0.98,What are the common problems mentioned in the feedback?
Give me the issue category distribution.,issue_agent,issue_agent,1,"The user is asking for aggregate issue category distribution, which is exactly handled by the issue_agent.",,langchain_llm,0.99,Give me the distribution of issue categories.
What are the most frequent concerns?,issue_agent,issue_agent,1,"The user is asking for aggregate concern frequency analysis, which matches issue category analysis.",,langchain_llm,0.98,What are the most frequent concern categories?
What are the top discussion topics?,topic_agent,topic_agent,1,"The user is asking for broad discussion themes and aggregate topic trends, which matches topic modeling rather than sentiment, issues, or evidence retrieval.",,langchain_llm,0.99,What are the top discussion topics?
Show the main themes.,topic_agent,topic_agent,1,"The user is asking for broad thematic patterns, which is a topic-modeling/aggregate theme request.",,langchain_llm,0.98,Show the main themes in the feedback.
What are the topic model results?,topic_agent,topic_agent,1,"The user is explicitly asking for topic model results, which is handled by the topic_agent.",,langchain_llm,0.99,What are the topic model results?
What are the top topics in negative sentiment?,topic_agent,topic_agent,1,"The user is asking for topic-model results filtered by negative sentiment, which is an aggregate thematic analysis rather than specific evidence or sentiment counts.",,langchain_llm,0.93,What are the top topics in negative sentiment?
What trends appear in discussions?,topic_agent,topic_agent,1,"The user is asking for broad discussion trends, which is a topic-modeling/aggregate theme request.",,langchain_llm,0.97,What trends appear in the discussions?
What are the top keywords?,keyword_agent,keyword_agent,1,"The user is explicitly asking for top keywords, which is a keyword extraction task.",,langchain_llm,0.99,What are the top keywords?
Show the main keyword.,keyword_agent,keyword_agent,1,"The user is asking for a keyword-level output, which is handled by the keyword agent.",,langchain_llm,0.99,Show the main keyword.
What are the key phrases?,keyword_agent,keyword_agent,1,"The user is explicitly asking for key phrases, which is a keyword extraction task.",,langchain_llm,0.99,What are the key phrases?
Show the key terms.,keyword_agent,keyword_agent,1,"The user is asking for key terms, which is a keyword/phrase extraction task.",,langchain_llm,0.99,Show the key terms.
What are the most frequent words?,keyword_agent,keyword_agent,1,"The user is asking for common words/frequency terms, which is a keyword analysis task.",,langchain_llm,0.99,What are the most frequent words?
Why are users unhappy about the S-Pen?,feedback_rag_agent,feedback_rag_agent,1,"This asks for reasons behind a specific product-related sentiment and requires grounded evidence from user feedback, not aggregate sentiment counts.",,langchain_llm,0.98,Why are users unhappy about the S-Pen?
What are users saying about Samsung battery life?,feedback_rag_agent,feedback_rag_agent,1,"This asks for what users are saying and implies evidence/examples about a specific product aspect, which requires grounded retrieval rather than aggregate analytics.",,langchain_llm,0.97,What are users saying about Samsung battery life?
Compare Samsung with Apple according to the comments.,feedback_rag_agent,feedback_rag_agent,1,"This asks for a comparison grounded in user comments, which requires retrieving supporting evidence rather than aggregate analytics.",,langchain_llm,0.95,Compare Samsung with Apple according to the comments.
What complaints mention camera quality?,feedback_rag_agent,feedback_rag_agent,1,"This asks for complaints that mention a specific feature and requires retrieved evidence, not aggregate issue counts.",,langchain_llm,0.98,What complaints mention camera quality?
Show evidence about display durability.,feedback_rag_agent,feedback_rag_agent,1,"The user is asking for evidence and supporting details about a specific product attribute, which requires retrieved comments or examples rather than aggregate analytics.",,langchain_llm,0.98,Show evidence about display durability.
How should Samsung design the S27 Ultra?,strategy_rag_agent,strategy_rag_agent,1,"This asks for product design recommendations and future strategy, which belongs to the strategy agent.",,langchain_llm,0.98,How should Samsung design the S27 Ultra?
What roadmap should Samsung follow for the next Ultra?,strategy_rag_agent,strategy_rag_agent,1,"The user is asking for strategic recommendations and future product roadmap guidance, which belongs to the strategy specialist.",,langchain_llm,0.98,What roadmap should Samsung follow for the next Ultra?
How can Samsung maximize profit?,strategy_rag_agent,strategy_rag_agent,1,"The user is asking for recommendations and business strategy to improve profit, which matches the strategy_rag_agent.",,langchain_llm,0.98,How can Samsung maximize profit?
How can the next flagship reduce complaints?,strategy_rag_agent,strategy_rag_agent,1,"This asks for recommendations and actions for a future product to reduce complaints, which is a strategy question.",,langchain_llm,0.98,How can the next flagship reduce complaints?
What should Samsung do about battery complaints?,strategy_rag_agent,strategy_rag_agent,1,"The user is asking for recommended actions Samsung should take in response to complaints, which is a strategy/recommendation request.",,langchain_llm,0.98,What should Samsung do about battery complaints?
